GRP_ID,BLIDS_INC,AREA_GROSS_EXT_SUM,NAME,PULSE_ID
745,<Null>,6934.81,Ritsumeikan,
556,<Null>,2221.09,Robson House,
528,<Null>,23645.79,Rose Garden Parkade,
817-1,<Null>,0,Ross House & Mclean Block,
760,<Null>,366.91,Rugby Pavilion,
595,"595,595",41876.56,Sage,
500,<Null>,0,Sandringham,
687,<Null>,18722.36,Save-On-Foods,
763,<Null>,43.48,SC - Hub Site,
638,<Null>,3413.38,SC Warehouse,
232,<Null>,6837.09,Scarfe-Lecture Block,397
233,<Null>,233.64,Scarfe-Lecture Block,397
234,<Null>,2772.03,Scarfe-Lecture Block,397
240-1,<Null>,6346.84,Scarfe-Lecture Block,397
240-2,<Null>,4073.94,Scarfe-Lecture Block,397
76,<Null>,109.46,Scholar's Retreat,
515,<Null>,10525.91,Sedgewick Library,
515-1,<Null>,7303.06,Sedgewick Library,
077-2,<Null>,501.68,Shade House,
560,<Null>,2237.4,Sherwood Lett House,
377-1,<Null>,14575.19,Simon Lee,
212,<Null>,1570.74,Sing Tao,
320,<Null>,2248.84,Somerset,
622,<Null>,0,Somerset,
838,<Null>,0,Somerville,
451,<Null>,6713.66,Sopron House,
918,<Null>,3160.63,Sorority House,
584,<Null>,8234.5,Spirit,
770-1,"770-2,770-3,770-1",6548.45,Spirit Part Apartments,
513,<Null>,8441.62,SPPH,319
422,<Null>,167.12,Squash Court,
503,<Null>,0,St. James,
822-1,<Null>,1041.2,St. John's College,
822-2,<Null>,2424.51,St. John's College,
822-3-4,<Null>,6176.15,St. John's College,
827-5,<Null>,0,St. Mark's 5,
827-6,<Null>,0,St. Mark's 6,
827-7,<Null>,0,St. Mark's 7,
827-8,<Null>,0,St. Mark's 8,
829,<Null>,884.87,St. Mark's Chapel,
828,<Null>,1541.14,St. Mark's College,
818,<Null>,0,Stirling House,
669,<Null>,382.53,Stores Road Annex,
199,<Null>,12403.02,Strangway,559
309,<Null>,772.31,Structures Lab,
790,"790,790-1,790-2",19961.25,SUB,
901,<Null>,5398.66,Swing Space,361
593-1,<Null>,0,Tapestry,
593-2,<Null>,8928.05,Tapestry,
902,<Null>,4730.52,Tec De Monterrey,
606,<Null>,14891.75,TEF3,
678,<Null>,0,Telus Hub,
432,<Null>,2409.14,Tennis Centre,
433,<Null>,7178.25,Tennis Centre (New),
502,<Null>,0,Thames Court,
508,<Null>,0,The Balmoral,
509,<Null>,0,The Balmoral,
51,<Null>,416.53,The Barn,
505,<Null>,0,The Bristol,
504,<Null>,0,The Chatham,
507,<Null>,0,The Regency,
506-1,<Null>,0,The Stratford,
36,<Null>,861.44,Theatre-Flim Prod,
036-1,<Null>,137.5,Theatre-Flim Prod,
551,<Null>,60060.07,Thunderbird Parkade,
780,<Null>,20012.39,Thunderbird Res A1,
781,<Null>,4117.69,Thunderbird Res A2,
781-1,<Null>,1100.33,Thunderbird Res A3,
780-1,<Null>,1104.04,Thunderbird Res A4,
783,<Null>,4058.84,Thunderbird Res B1,
782,<Null>,4104.8,Thunderbird Res B2,
782-1,<Null>,1098.19,Thunderbird Res B3,
783-1,<Null>,1104.04,Thunderbird Res B4,
784,<Null>,4057.08,Thunderbird Res C1,
,<Null>,1619.03,Thunderbird Res C2,
785,<Null>,3155.54,Thunderbird Stadium,
668,"668,668-1",870.21,Totem Field Studios,
540-1,<Null>,4286.08,Totem Park Common Block,2664
534,<Null>,0,Triumf House,
545-2,<Null>,2295.97,Tweedsmuir House,
706,<Null>,0,Ultima,
344,"344,344-1",3542.42,University Centre,
345,<Null>,464.66,University Centre,
641,<Null>,13883.38,USB,
543,<Null>,13.93,Vanier Pump Station,
817-2,<Null>,0,Walker House,
428,<Null>,12673.77,War Memorial,
142,<Null>,199.02,Waste Proc/Storage,
864,"864,867",11079.71,Wesbrook,560
594,<Null>,0,Wesbrook Tower,
686,<Null>,586.81,Wesbrook Village,
501,<Null>,0,West Hampstead,
863-1,<Null>,1969.68,West Mall Annex,
900,<Null>,35227.75,West Parkade,
616,<Null>,0,Westchester,
841,<Null>,0,Westpoint,
385,<Null>,283.32,Wood Products,
536,<Null>,7776.79,Woodward Library,353
90,<Null>,512.35,Workshop,
94,<Null>,109.52,Workshop (Trailer),
506-2,<Null>,0,Wyndham Hall,
